DMS 포집내역 (2025.03.01 ~ 2025.11.30),,,,,2025년,포집량,모기,기타,,
2025-05-10,691,680,11,,,,,,,
2025-05-11,498,486,12,,,,,,,
2025-05-12,1031,1021,10,,,,,,,
2025-05-13,1551,1513,38,,,,,,,
2025-05-14,1597,1582,15,,,,,,,
2025-05-15,1570,1552,18,,,,,,,
2025-05-16,1466,1431,35,,,,,,,
2025-05-17,1301,1290,11,,,,,,,
2025-05-18,1083,1066,17,,,,,,,
2025-05-19,1430,1405,25,,,,,,,
2025-05-20,1618,1582,36,,,,,,,
2025-05-21,2095,2034,61,,,,,,,
2025-05-22,1923,1909,14,,,,,,,
2025-05-23,1982,1975,7,,,,,,,
2025-05-24,1298,1283,15,,,,,,,
2025-05-25,1281,1270,11,,,,,,,
2025-05-26,1898,1880,18,,,,,,,
2025-05-27,2111,2089,22,,,,,,,
2025-05-28,2006,1991,15,,,,,,,
2025-05-29,2039,2021,18,,,,,,,
2025-05-30,2105,2085,20,,,,,,,
2025-05-31,1933,1910,23,,,,,,,
2025-06-01,1500,1480,20,,,,,,,
2025-06-02,1900,1883,17,,,,,,,
2025-06-03,1786,1762,24,,,,,,,
2025-06-04,2141,2119,22,,,,,,,
2025-06-05,1999,1966,33,,,,,,,
2025-06-06,2003,1980,23,,,,,,,
2025-06-07,2041,2003,38,,,,,,,
2025-06-08,1656,1622,34,,,,,,,
2025-06-09,2237,2213,24,,,,,,,
2025-06-10,2223,2184,39,,,,,,,
2025-06-11,2114,2082,32,,,,,,,
2025-06-12,2414,2371,43,,,,,,,
2025-06-13,2250,2222,28,,,,,,,
2025-06-14,1695,1674,21,,,,,,,
2025-06-15,2657,2614,43,,,,,,,
2025-06-16,2243,2175,68,,,,,,,
2025-06-17,1899,1870,29,,,,,,,
2025-06-18,2247,2220,27,,,,,,,
2025-06-19,2181,2143,38,,,,,,,
2025-06-20,2113,2071,42,,,,,,,
2025-06-21,1262,1243,19,,,,,,,
2025-06-22,1559,1555,4,,,,,,,
2025-06-23,2088,2049,39,,,,,,,
2025-06-24,2317,2287,30,,,,,,,
2025-06-25,2116,2077,39,,,,,,,
2025-06-26,1647,1630,17,,,,,,,
2025-06-27,2084,2063,21,,,,,,,
2025-06-28,2591,2579,12,,,,,,,
2025-06-29,3026,3001,25,,,,,,,
2025-06-30,3254,3213,41,,,,,,,
2025-07-01,3097,3055,42,,,,,,,
2025-07-02,3187,3021,166,,,,,,,
2025-07-03,3274,3190,84,,,,,,,
2025-07-04,3526,3418,110,,,,,,,
2025-07-05,3605,3466,139,,,,,,,
2025-07-06,4094,3981,113,,,,,,,
2025-07-07,3951,3838,113,,,,,,,
2025-07-08,3351,3280,71,,,,,,,
2025-07-09,3203,3095,108,,,,,,,
2025-07-10,2667,2546,121,,,,,,,
2025-07-11,2305,2195,110,,,,,,,
2025-07-12,2105,2063,42,,,,,,,
2025-07-13,2301,2164,137,,,,,,,
2025-07-14,2396,2236,160,,,,,,,
2025-07-15,2071,1912,159,,,,,,,
2025-07-16,2443,2322,121,,,,,,,
2025-07-17,2245,2116,129,,,,,,,
2025-07-18,1506,1454,52,,,,,,,
2025-07-19,1609,1569,40,,,,,,,
2025-07-20,1359,1318,41,,,,,,,
2025-07-21,1711,1652,59,,,,,,,
2025-07-22,1706,1656,50,,,,,,,
2025-07-23,1594,1537,57,,,,,,,
2025-07-24,1785,1719,66,,,,,,,
2025-07-25,1964,1902,62,,,,,,,
2025-07-26,1605,1538,67,,,,,,,
2025-07-27,1702,1617,85,,,,,,,
2025-07-28,1469,1340,129,,,,,,,
2025-07-29,1761,1570,191,,,,,,,
2025-07-30,1597,1427,170,,,,,,,
2025-07-31,1437,1339,98,,,,,,,
2025-08-01,1316,1228,88,,,,,,,
2025-08-02,1742,1573,169,,,,,,,
2025-08-03,1670,1623,47,,,,,,,
2025-08-04,1599,1407,192,,,,,,,
2025-08-05,2172,1955,225,,,,,,,
2025-08-06,2187,2083,104,,,,,,,
2025-08-07,1779,1647,132,,,,,,,
2025-08-08,2556,2314,242,,,,,,,
2025-08-09,2337,2107,230,,,,,,,
2025-08-10,1956,1701,255,,,,,,,
2025-08-11,2318,2214,104,,,,,,,
2025-08-12,2261,2143,118,,,,,,,
2025-08-13,2311,2172,139,,,,,,,
2025-08-14,2230,2101,129,,,,,,,
2025-08-15,2096,1883,213,,,,,,,
2025-08-16,2041,1850,191,,,,,,,
2025-08-17,2122,1893,229,,,,,,,
2025-08-18,2191,2084,107,,,,,,,
2025-08-19,2144,1833,311,,,,,,,
2025-08-20,2147,1930,217,,,,,,,
2025-08-21,2162,1980,182,,,,,,,
2025-08-22,2058,1889,169,,,,,,,
2025-08-23,2235,1960,275,,,,,,,
2025-08-24,2054,1876,178,,,,,,,
2025-08-25,1908,1698,210,,,,,,,
2025-08-26,1883,1606,277,,,,,,,
2025-08-27,3167,2172,995,,,,,,,
2025-08-28,3370,2293,1077,,,,,,,
2025-08-29,2872,2081,791,,,,,,,
2025-08-30,3922,2766,1156,,,,,,,
2025-08-31,3628,2469,1159,,,,,,,
2025-09-01,3548,2454,1094,,,,,,,
2025-09-02,4654,1973,2681,,,,,,,
2025-09-03,4147,2123,2024,,,,,,,
2025-09-04,3384,2195,1189,,,,,,,
2025-09-05,3733,1958,1775,,,,,,,
2025-09-06,2283,2248,35,,,,,,,
2025-09-07,1995,1941,54,,,,,,,
2025-09-08,2685,2645,40,,,,,,,
2025-09-09,2014,2000,14,,,,,,,
2025-09-10,1655,1649,6,,,,,,,
2025-09-11,2010,1994,16,,,,,,,
2025-09-12,2330,2306,24,,,,,,,
2025-09-13,1550,1508,42,,,,,,,
2025-09-14,2049,2031,18,,,,,,,
2025-09-15,1896,1854,42,,,,,,,
2025-09-16,1892,1870,22,,,,,,,
2025-09-17,1466,1448,18,,,,,,,
2025-09-18,1544,1518,26,,,,,,,
2025-09-19,2140,2111,29,,,,,,,
2025-09-20,1351,1344,7,,,,,,,
2025-09-21,1537,1521,16,,,,,,,
2025-09-22,2342,2299,43,,,,,,,
2025-09-23,2441,2400,41,,,,,,,
2025-09-24,2589,2557,32,,,,,,,
2025-09-25,1733,1718,15,,,,,,,
2025-09-26,1644,1628,16,,,,,,,
2025-09-27,1897,1866,31,,,,,,,
2025-09-28,2291,2270,21,,,,,,,
2025-09-29,1952,1943,9,,,,,,,
2025-09-30,1660,1654,6,,,,,,,
2025-10-01,1498,1488,10,,,,,,,
2025-10-02,2048,2030,18,,,,,,,
2025-10-03,2374,2357,17,,,,,,,
2025-10-04,3027,3001,26,,,,,,,
2025-10-05,2234,2218,16,,,,,,,
2025-10-06,1859,1855,4,,,,,,,
2025-10-07,1277,1268,9,,,,,,,
2025-10-08,1671,1658,13,,,,,,,
2025-10-09,2886,2872,14,,,,,,,
2025-10-10,1861,1850,11,,,,,,,
2025-10-11,1655,1625,30,,,,,,,
2025-10-12,1861,1856,5,,,,,,,
2025-10-13,2177,2161,16,,,,,,,
2025-10-14,984,966,18,,,,,,,
2025-10-15,1918,1912,6,,,,,,,
2025-10-16,1833,1807,26,,,,,,,
2025-10-17,2227,2206,21,,,,,,,
2025-10-18,1759,1747,12,,,,,,,
2025-10-19,1105,1092,13,,,,,,,
2025-10-20,505,504,1,,,,,,,
2025-10-21,332,316,16,,,,,,,
2025-10-22,238,236,2,,,,,,,
2025-10-23,1015,1005,10,,,,,,,
2025-10-24,1023,1007,16,,,,,,,
2025-10-25,1301,1279,22,,,,,,,
2025-10-26,1383,1354,29,,,,,,,
2025-10-27,548,538,10,,,,,,,
2025-10-28,184,184,0,,,,,,,
2025-10-29,191,187,4,,,,,,,
2025-10-30,318,315,3,,,,,,,
2025-10-31,570,561,9,,,,,,,
2025-11-01,1005,990,15,,,,,,,
2025-11-02,441,433,8,,,,,,,
2025-11-03,34,29,5,,,,,,,
2025-11-04,112,107,5,,,,,,,
2025-11-05,263,257,6,,,,,,,
2025-11-06,251,248,3,,,,,,,
2025-11-07,405,397,8,,,,,,,
2025-11-08,1011,986,25,,,,,,,
2025-11-09,876,839,37,,,,,,,
2025-11-10,910,899,11,,,,,,,
2025-11-11,144,132,12,,,,,,,
2025-11-12,270,260,10,,,,,,,
2025-11-13,348,335,13,,,,,,,
2025-11-14,450,433,17,,,,,,,
2025-11-15,241,232,9,,,,,,,
2025-11-16,230,216,14,,,,,,,
2025-11-17,374,368,6,,,,,,,
2025-11-18,14,12,2,,,,,,,
2025-11-19,10,8,2,,,,,,,
2025-11-20,17,10,7,,,,,,,
2025-11-21,69,67,2,,,,,,,
2025-11-22,231,222,9,,,,,,,
2025-11-23,156,143,13,,,,,,,
2025-11-24,143,131,12,,,,,,,
2025-11-25,245,236,9,,,,,,,
2025-11-26,29,26,3,,,,,,,
2025-11-27,54,48,6,,,,,,,
2025-11-28,20,17,3,,,,,,,
2025-11-29,19,12,7,,,,,,,
2025-11-30,132,127,5,,,,,,,
